AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
1.0456414,-0.25849724,0.49500132,0.1261844,0.10661635,-0.11565715,1
1.1096784,-0.8527403,1.554543,0.011952598,-0.010058914,0.023620121,1
1.0369484,-1.2333212,2.6420207,-0.16458745,-0.012502376,0.038891755,1
0.7706269,-0.76439667,2.2901783,-0.09678141,0.015597426,-0.027081693,1
-0.12784693,-0.13904285,-0.9940526,-0.23300436,-0.012502376,0.049276464,1
0.54380596,-0.15852165,0.119882524,-0.14992669,-0.007615454,0.06576982,1
-0.22727337,0.64599323,-1.0541053,-0.09861401,-0.000896,-0.002647083,1
-1.0014569,1.1750202,-1.4879041,-0.15786794,0.026593,0.000407,1
0.20462766,1.0486908,-1.4693956,-0.007595091,0.025982136,-0.03502294,1
0.06608911,0.64488316,0.26496318,0.13168219,-0.032660928,-0.000204,1
-1.1093836,0.57032967,-0.0336141,0.16222546,-0.008837184,-0.016086118,1
-0.11476517,0.16328335,0.9856226,0.17444275,-0.013724105,-0.029525153,1
-0.15089111,-1.0333357,-0.65883803,0.15061902,-0.028995737,0.011402819,1
-0.611833,-0.97413063,-0.62177116,0.007676541,-0.06809111,0.043778673,1
-0.17331995,0.3558197,0.6631553,-0.049744792,-0.047932558,0.054774247,1
-0.16585487,-0.19168663,0.14176233,-0.024088454,-0.055262942,0.050498195,1
-0.34900707,-0.11515713,0.70966923,0.020504711,-0.030217469,0.0327831,1
0.47440863,-0.05284214,0.6726532,-0.009427686,0.001547525,0.0187332,1
0.1862766,0.046233177,0.89187634,-0.061351236,0.001547525,-0.005090542,1
1.0175148,-0.35393238,0.34358782,0.02966769,0.02537127,-0.030746885,1
-0.7686653,0.12646675,0.037495315,0.003400484,-0.039380446,0.045000404,1
0.037603766,-0.10906792,0.107171506,-0.041803546,-0.000285,-0.037466403,1
-0.019658774,0.6039591,-1.5073593,-0.12121603,0.008267043,0.023009256,1
-1.1483139,0.8962965,0.18622574,-0.113274775,-0.03388266,0.06149377,1
-0.21658394,0.8580141,0.88366854,0.000957,0.057136264,-0.019140445,1
-0.41403893,0.9706259,-0.64527655,0.04493932,0.062023185,-0.030746885,1
-1.0696442,0.73209953,0.24826223,0.12862785,0.016819157,-0.084503025,1
-1.004207,-0.24702549,0.33056056,-0.090061896,-0.20492494,0.10914125,1
-2.4148486,-0.44697285,0.7753607,0.022337306,-0.048543423,0.038891755,1
0.2827958,0.47147846,0.92796594,-0.001486438,-0.09558005,0.15434527,1
-0.09407587,0.19063187,1.2710756,0.182384,0.051638477,-0.06800966,1
-0.7162364,0.9157038,-0.6321318,0.21109468,-0.12673417,0.1525127,1
-0.083409086,2.7973642,-5.6330147,0.075482585,-0.3472565,0.40418917,1
0.5695318,1.1278534,-2.8315468,0.045550186,-0.056484673,-0.07167485,1
-1.4409077,-0.49114704,0.9889871,0.07853691,0.0125431,-0.1553634,1
0.51937485,-1.7440262,0.21968439,-0.02469932,-0.09374745,0.21604267,1
