AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,Classe
-0.14190257,0.3740467,0.22889996,0.14065172,0.06841691,0.19112447,SLOW,3583059,2
-1.5510405,-0.36908364,0.7171593,-0.10308351,-0.17898351,0.08422305,SLOW,3583059,2
-0.61246896,0.035557777,0.4804449,-0.009010263,0.028099801,0.11293371,SLOW,3583060,2
-0.59336495,-0.45058653,1.4999275,-0.0035124752,0.20158553,0.117820635,SLOW,3583060,2
0.15639377,-0.6463174,0.008554459,0.04596761,-0.057421334,0.07322747,SLOW,3583061,2
-0.28218186,0.18528327,0.07334709,0.0062613687,0.028710667,0.12759447,SLOW,3583061,2
-0.9450994,-0.8931174,0.15054321,0.030085113,-0.05375614,0.07200574,SLOW,3583062,2
-1.4616195,-0.23117903,-0.32814312,-0.06582073,-0.07574729,0.07994699,SLOW,3583063,2
-0.45283878,-0.46529728,-0.16696358,0.012980887,0.017104227,0.08544478,SLOW,3583063,2
0.98812973,0.6418567,-0.50401306,0.09911288,0.22357668,0.13187054,SLOW,3583064,2
-0.29620856,0.6040546,-0.8793793,0.06612616,-0.07086037,0.04879286,SLOW,3583064,2
-0.16045403,-0.23097414,-0.1562872,0.0013744468,-0.03176499,0.017638734,SLOW,3583065,2
0.10453379,-1.2805185,-0.7445564,0.011759156,0.16371189,0.03596469,SLOW,3583065,2
0.93017673,0.8451406,0.82563686,-0.02977968,0.053145275,-0.058719423,SLOW,3583066,2
2.3941636,0.11837247,-0.64065456,0.028252518,0.044593163,-0.076434515,SLOW,3583066,2
3.278154,0.025354624,0.37438488,0.06001751,0.103847094,-0.034895677,SLOW,3583067,2
0.85505545,-1.1542009,-1.6892481,-0.010231993,-0.053145275,-0.10881037,SLOW,3583067,2
1.8305758,-0.92396724,0.5834513,-0.0041233404,0.02321288,-0.07765625,SLOW,3583068,2
1.3457218,-0.5655335,-0.68259907,-0.0664316,-0.05131268,-0.08498663,SLOW,3583068,2
1.2128271,-0.9816916,-0.28413868,-0.07742717,0.048258353,-0.054443367,SLOW,3583069,2
